shared_buffers,work_mem,relid,relname,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_hot_upd,n_tup_del,n_live_tup,n_dead_tup
128MB,4MB,16773,sbtest4,165993,320211,108382,3686,1747,1693,106758,4353
128MB,4MB,16871,sbtest11,166999,342310,108408,3832,1833,1737,106723,4448
128MB,4MB,16785,sbtest5,166591,333604,108388,3762,1817,1728,106692,4426
128MB,4MB,17054,sbtest24,166355,350635,108297,3800,1809,1733,106610,4453
128MB,4MB,16895,sbtest13,166827,343893,108265,3755,1803,1782,106554,4562
128MB,4MB,16974,sbtest18,166660,343581,108337,3904,1840,1710,106690,4468
128MB,4MB,16942,sbtest16,167509,351338,108392,3873,1817,1715,106750,4644
128MB,4MB,16986,sbtest19,168015,349375,108274,3939,1895,1787,106565,4724
128MB,4MB,16761,sbtest3,166797,349615,108212,3811,1821,1686,106573,4395
128MB,4MB,16821,sbtest8,166422,335102,108305,3806,1877,1698,106686,4428
128MB,4MB,16859,sbtest10,167806,358546,108447,4047,1904,1753,106753,4581
128MB,4MB,16962,sbtest17,166996,338935,108179,3715,1753,1784,106457,4446
128MB,4MB,16918,sbtest14,166886,338475,108391,3757,1754,1722,106728,4514
128MB,4MB,16847,sbtest9,168072,358917,108303,4035,1936,1748,106613,4543
128MB,4MB,16809,sbtest7,166139,331794,108327,3757,1764,1698,106693,4385
128MB,4MB,17030,sbtest22,166960,349920,108336,3831,1782,1713,106680,4325
128MB,4MB,16998,sbtest20,166410,329528,108196,3785,1778,1680,106589,4415
128MB,4MB,16797,sbtest6,167021,336782,108033,3782,1798,1737,106310,4292
128MB,4MB,17042,sbtest23,165193,312804,108038,3435,1615,1689,106414,4134
128MB,4MB,16930,sbtest15,167492,350423,108219,3916,1864,1728,106552,4493
128MB,4MB,16749,sbtest2,166905,329950,108219,3724,1822,1713,106577,4313
128MB,4MB,16737,sbtest1,12299267,16335124,108294,3961,1890,1808,106547,4574
128MB,4MB,17014,sbtest21,166986,350323,108430,3830,1798,1750,106746,4325
128MB,4MB,16883,sbtest12,167384,343070,108337,3843,1844,1762,106634,4547
128MB,4MB,16773,sbtest4,170387,329807,108575,4359,2161,1713,106931,4699
128MB,4MB,16871,sbtest11,171671,358294,108623,4606,2324,1770,106905,4825
128MB,4MB,16785,sbtest5,171010,344700,108621,4490,2268,1744,106909,4765
128MB,4MB,17054,sbtest24,171147,366627,108529,4595,2308,1770,106805,4885
128MB,4MB,16895,sbtest13,171524,358257,108494,4539,2296,1808,106757,5012
128MB,4MB,16974,sbtest18,171373,359315,108600,4677,2336,1743,106920,4887
128MB,4MB,16942,sbtest16,171823,359945,108609,4630,2298,1728,106954,5052
128MB,4MB,16986,sbtest19,172607,361524,108496,4705,2370,1807,106767,5136
128MB,4MB,16761,sbtest3,171279,362054,108395,4575,2320,1712,106730,4838
128MB,4MB,16821,sbtest8,171210,352039,108560,4634,2396,1729,106910,4835
128MB,4MB,16859,sbtest10,172470,374009,108679,4899,2447,1779,106959,5096
128MB,4MB,16962,sbtest17,171674,352380,108399,4445,2218,1812,106649,4795
128MB,4MB,16918,sbtest14,171310,350789,108599,4487,2224,1747,106911,4916
128MB,4MB,16847,sbtest9,172542,373568,108557,4788,2406,1776,106839,4979
128MB,4MB,16809,sbtest7,170749,345594,108551,4497,2234,1726,106889,4811
128MB,4MB,17030,sbtest22,171684,366629,108556,4638,2294,1744,106869,4823
128MB,4MB,16998,sbtest20,170838,341300,108436,4565,2271,1700,106809,4853
128MB,4MB,16797,sbtest6,171456,349215,108256,4540,2278,1757,106513,4701
128MB,4MB,17042,sbtest23,169743,325585,108229,4136,2078,1710,106584,4506
128MB,4MB,16930,sbtest15,172140,366261,108434,4650,2338,1757,106738,4895
128MB,4MB,16749,sbtest2,171218,339631,108417,4463,2311,1731,106757,4692
128MB,4MB,16737,sbtest1,14838224,20424726,108490,4741,2403,1827,106724,4893
128MB,4MB,17014,sbtest21,171435,362027,108634,4628,2287,1769,106931,4734
128MB,4MB,16883,sbtest12,171924,356332,108573,4614,2334,1786,106846,5000
128MB,4MB,16773,sbtest4,175851,342524,108917,4407,2186,1731,107255,4579
128MB,4MB,16871,sbtest11,177125,371936,108929,4665,2354,1796,107185,4670
128MB,4MB,16785,sbtest5,176665,362509,108970,4558,2304,1774,107228,4670
128MB,4MB,17054,sbtest24,177099,388564,108896,4675,2350,1818,107124,4812
128MB,4MB,16895,sbtest13,177239,377322,108847,4616,2332,1844,107074,4886
128MB,4MB,16974,sbtest18,176996,376753,108956,4743,2365,1776,107242,4784
128MB,4MB,16942,sbtest16,177491,377034,108926,4689,2326,1755,107244,5011
128MB,4MB,16986,sbtest19,178398,380848,108865,4775,2405,1845,107098,5054
128MB,4MB,16761,sbtest3,177190,382102,108754,4648,2358,1752,107049,4710
128MB,4MB,16821,sbtest8,176957,369138,108904,4705,2430,1758,107225,4722
128MB,4MB,16859,sbtest10,178024,389402,109036,4953,2477,1810,107285,4924
128MB,4MB,16962,sbtest17,177474,370158,108751,4514,2253,1849,106964,4728
128MB,4MB,16918,sbtest14,176953,366377,108911,4541,2247,1778,107192,4750
128MB,4MB,16847,sbtest9,178393,394998,108929,4874,2451,1822,107165,4904
128MB,4MB,16809,sbtest7,176286,361975,108890,4552,2259,1755,107199,4705
128MB,4MB,17030,sbtest22,177226,383070,108845,4701,2323,1776,107126,4649
128MB,4MB,16998,sbtest20,176557,358755,108787,4632,2304,1734,107126,4754
128MB,4MB,16797,sbtest6,177194,363461,108562,4582,2299,1780,106796,4551
128MB,4MB,17042,sbtest23,175578,344502,108574,4198,2109,1751,106888,4427
